book_id,title,authors,top_genre,average_rating,ratings_count
1799068,An Introduction to Fiction,"X.J. Kennedy, Dana Gioia, Kate Chopin, Sandra Cisneros, Stephen Crane, William Faulkner, Charlotte Perkins Gilman, Nadine Gordimer, Nathaniel Hawthorne, Ernest Hemingway, Langston Hughes, Zora Neale Hurston, James     Baldwin, Shirley Jackson, Henry James, James Joyce, Franz Kafka, D.H. Lawrence, Ursula K. Le Guin, Doris Lessing, Jack London, Katherine Mansfield, Gabriel Garcia Marquez, Ambrose Bierce, Bobbie Ann Mason, Jorge Luis Borges, Raymond Carver, Willa Cather, John Cheever, Anton Chekhov, W. Somerset Maugham, Alice Munro, Joyce Carol Oates, Flannery O'Connor, Frank O'Connor, Tillie Olsen, Edgar Allan Poe, Katherine Anne Porter, Philip Roth, Isaac Bashevis Singer, John Steinbeck, Amy Tan, James Thurber, Leo Tolstoy, John Updike, Alice Walker, Eudora Welty, William Carlos Williams, Virginia Woolf, T.C. Boyle",fiction,3.75,29
15985601,Carter Diamond 1,"Ashley Antoinette, JaQuavis Coleman",fiction,4.52,917
30798490,The Twelve Lives of Samuel Hawley,Hannah Tinti,fiction,3.96,15
3422150,"Transformer (Transformer, #2)",M.A. Foster,fiction,3.94,36
1411644,Song of Solomon,Toni Morrison,fiction,4.01,193
30299424,Dirty C.O.,Rod Ballard,fiction,4.29,15
95279,"Lucia in London (Lucia, #3)","E.F. Benson, Micheal Mac Liammoir",fiction,4.24,995
12965118,1Q84,"Haruki Murakami, Allison Hiroto, Mark Boyett, Marc Vietor, Jay Rubin, Philip Gabriel",fiction,3.89,351
2458463,Red Phoenix,Larry Bond,fiction,3.98,52
25807035,My Grandmother Sends Her Regards and Apologises,"Fredrik Backman, Henning Koch",fiction,4.03,201
3166402,A Tale of Two Cities,Charles Dickens,fiction,3.82,228
6525852,Road Dogs,Elmore Leonard,fiction,3.51,266
17571293,The Way of All Fish,Martha Grimes,fiction,3.14,425
17571290,The Runaway Wife,Rowan Coleman,fiction,3.73,512
17571291,What We've Lost is Nothing,Rachel Louise Snyder,fiction,3.12,452
30521832,Breaking and Holding,Judy Fogarty,fiction,3.98,61
7405551,Bruges-la-Morte and The Death-Throes of Towns,"Georges Rodenbach, Alan Hollinghurst",fiction,3.76,42
17372324,"The Secret Keeper Holds On (The Secret Keeper,  #4)",Brea Brown,fiction,4.37,54
598194,Welcome to the Monkey House (Dell #9478),Kurt Vonnegut Jr.,fiction,4.14,27
32500890,Almost Missed You,Jessica Strawser,fiction,3.57,704
19189047,The Way Things Are,E.M. Delafield,fiction,3.72,20
33572350,My Absolute Darling,Gabriel Tallent,fiction,3.82,5318
873920,Nights at the Circus,"Angela Carter, Sarah Waters",fiction,3.93,607
7945480,The Extinction Event,David      Black,fiction,2.23,77
18336231,Prayer,Philip Kerr,fiction,2.79,60
2999726,The Annotated Lolita,"Vladimir Nabokov, Alfred Appel",fiction,3.88,79
34794839,This Could Hurt,Jillian Medoff,fiction,4.47,47
18603,The Mercy of Thin Air,Ronlyn Domingue,fiction,3.82,4393
17720232,How to Shake the Other Man,Derek Palacio,fiction,4.06,63
25227677,The Wolf Border,Sarah Hall,fiction,3.8,38
16810,The Berlin Stories: The Last of Mr Norris/Goodbye to Berlin,Christopher Isherwood,fiction,4.03,7995
906054,A Walk on the Wild Side,Nelson Algren,fiction,3.99,12
23398711,Ideal,Ayn Rand,fiction,3.48,439
23511025,Because We Are: A Novel of Haiti,"Ted Oswald, Bahni Turpin",fiction,4.07,15
24601354,The Last Days of Rabbit Hayes,Anna McPartlin,fiction,4.25,71
2153236,The Island,Victoria Hislop,fiction,4.0,14
535229,The Templar Legacy (Cotton Malone #1),"Steve Berry, Brian Corrigan",fiction,3.81,14
15677,Strangers on a Train,Patricia Highsmith,fiction,3.82,10121
15672,The Strangers in the House,"Georges Simenon, P.D. James, Geoffrey Sainsbury, David Watson",fiction,3.79,592
2466795,An Occurrence at Owl Creek Bridge and Other Stories,"Ambrose Bierce, Susan L. Rattiner",fiction,3.81,356
13627511,The Spy Who Came in from the Cold (George Smiley #3),"John le Carre, Michael Jayston",fiction,4.06,34
18919851,The Might Have Been: A Novel,Joseph M. Schuster,fiction,3.57,31
7186945,My Wife's Affair,Nancy Woodruff,fiction,3.55,349
10588262,The Feast of Love,Charles Baxter,fiction,3.7,75
843830,Reservation Blues,Sherman Alexie,fiction,3.98,46
19802590,Silver Bay,Jojo Moyes,fiction,3.62,904
2974706,The Arthur Rackham Fairy Book,Arthur Rackham,fiction,4.38,10
8601185,"The Rembrandt Affair (Gabriel Allon, #10)",Daniel Silva,fiction,4.27,34
288840,The Strange Case of Dr Jekyll and Mr Hyde,Robert Louis Stevenson,fiction,3.79,1375
32861103,Sin of a Woman,Kimberla Lawson Roby,fiction,3.98,99
10362199,The Redeemer,Jo Nesbo,fiction,4.07,32
10517913,Thousand Cranes,"Yasunari Kawabata, Edward G. Seidensticker",fiction,3.77,180
868406,Ask the Dust,John Fante,fiction,4.14,47
6887651,"The Girl Who Played With Fire (Millennium, #2)","Stieg Larsson, Simon Vance",fiction,4.22,111
1142779,A Single Light,Maia Wojciechowska,fiction,4.04,41
34090640,"The Final Day (After, #3)",William R. Forstchen,fiction,4.14,9
53003,Our Lady of the Flowers,"Jean Genet, Jean-Paul Sartre, Bernard Frechtman",fiction,4.02,3473
18962046,A Medical Affair,Anne McCarthy Strauss,fiction,3.62,150
993216,"The Bourne Ultimatum (Jason Bourne, #3)",Robert Ludlum,fiction,4.04,83
317999,The Electric Michelangelo,Sarah Hall,fiction,3.59,1705
7491624,My Uncle Oswald,Roald Dahl,fiction,3.91,186
540372,"Wait Until Spring, Bandini (The Saga of Arthur Bandini, #1)",John Fante,fiction,4.1,6993
13558837,Pnin,Vladimir Nabokov,fiction,3.9,184
18695289,Breakwater Bay,Shelley Noble,fiction,3.63,633
10525376,Lime Creek,Joe Henry,fiction,3.33,118
17345215,Sycamore Row,"John Grisham, Michael Beck",fiction,3.98,111
7862086,"The Reptile Room (A Series Of Unfortunate Events, #2)",Lemony Snicket,fiction,3.95,245
22827551,The Turner House,Angela Flournoy,fiction,3.64,16
1817436,McTeague: A Story of San Francisco,Frank Norris,fiction,3.67,31
27246976,Sleep Peacefully,N.C. Marshall,fiction,3.88,27
6565401,Five Quarters of the Orange,Joanne Harris,fiction,3.83,605
903520,The Night Journal,Elizabeth   Crook,fiction,3.58,90
852721,"Ramage (The Lord Ramage Novels, #1)","Dudley Pope, Alexander Kent",fiction,3.95,1467
34314792,The Rooster Bar,John Grisham,fiction,4.15,28
9366766,Buzz Beaker and the Outer Space Trip (Stone Arch Readers - Level 3),"Cari Meister, Bill McGuire",fiction,3.96,17
10412948,After Midnight,"Irmgard Keun, Anthea Bell",fiction,3.8,326
3349683,Pandora's Box,Giselle Green,fiction,3.27,271
30037251,The Dispossessed,Szilard Borbely,fiction,4.06,63
26209510,When I'm Gone,"Emily Bleeker, Dan John Miller",fiction,3.96,14
12847171,A Child of the Jago,"Arthur Morrison, Peter Miles",fiction,3.71,61
384850,"In the Doghouse (Lizzie McGuire Mysteries, #5)","Lisa Banim, Terri Minsky",fiction,3.64,58
29243123,The Madwoman Upstairs,Catherine Lowell,fiction,3.66,46
6568437,Life's a Beach,Claire Cook,fiction,3.11,67
4846335,Some of Tim's Stories,S.E. Hinton,fiction,3.68,67
32866298,Pathological,Jinkang Wang,fiction,3.41,29
13448468,Extremely Loud and Incredibly Close,"Jonathan Safran Foer, Jeff Woodman, Barbara Caruso, Richard Ferrone",fiction,3.97,76
23780011,Molly Miranda: Thief for Hire,Jillianne Hamilton,fiction,4.08,97
8480982,The Color of Law,Mark Gimenez,fiction,4.03,662
3474078,Night Train To Lisbon,"Pascal Mercier, Barbara Harshav",fiction,3.7,163
16568459,The Bastard of Istanbul,"Elif Shafak, Laural Merlington",fiction,3.79,61
3010631,The Summons,John Grisham,fiction,3.68,58
6460814,Ransom,David Malouf,fiction,3.81,1850
11356800,Fated,S.G. Browne,fiction,3.64,17
169075,Nabokov's Dozen: A Collection of Thirteen Stories‏,Vladimir Nabokov,fiction,4.07,371
18668164,The Elusive Language of Ducks,Judith   White,fiction,3.69,73
12047693,The Language of Flowers,Vanessa Diffenbaugh,fiction,4.07,9
1941762,A Clue to the Exit,Edward St. Aubyn,fiction,3.12,167
23012,The Gold Bug Variations,Richard Powers,fiction,4.12,1290
19234822,Scattered Links,M. Weidenbenner,fiction,4.24,166
6969481,The Death of Bunny Munro,Nick Cave,fiction,3.43,84
29200538,The Trouble with Goats and Sheep,Joanna  Cannon,fiction,3.69,197
24026285,Notes from Underground & The Double,"Fyodor Dostoyevsky, Jessie Coulson",fiction,4.19,22
18854714,The Life of a Banana,P.P.  Wong,fiction,3.77,247
659622,"Garden of Shadows (Dollanganger, #5)",V.C. Andrews,fiction,3.88,23476
15956699,The Master and Margarita,"Mikhail Bulgakov, Hugh Aplin",fiction,4.32,293
22447098,"The Bourne Ultimatum (Jason Bourne, #3)",Robert Ludlum,fiction,4.04,8
30293973,Purity,Jonathan Franzen,fiction,3.59,256
7897620,I Still Dream About You,Fannie Flagg,fiction,3.55,11439
33865164,Montpelier Parade: A Novel,Karl Geary,fiction,3.84,23
21412232,Mobile Library,David  Whitehouse,fiction,3.7,734
15739968,The Knot,Mark Watson,fiction,3.56,828
836677,Dandelion Wine,Ray Bradbury,fiction,4.08,54
19183031,"PRIMAL Origin (PRIMAL, #0.5)",Jack Silkstone,fiction,3.77,178
2455027,The Lost Constitution,William Martin,fiction,3.64,68
13488902,Mentality,Ceet,fiction,4.0,55
1837659,I'll Get You For This,James Hadley Chase,fiction,3.53,81
679491,The Company Of Strangers,Robert Wilson,fiction,3.79,7
16087529,LEGO Legends of Chima: Origins: A Starter Handbook,Tracey West,fiction,4.1,51
25816865,All Stories Are Love Stories,Elizabeth Percer,fiction,3.31,522
1704324,The Copper Beech,Maeve Binchy,fiction,3.89,116
1681063,Snow Falling on Cedars,David Guterson,fiction,3.8,65
12240419,Table 21,T. Rafael Cimino,fiction,3.65,364
4954833,Brooklyn,Colm Toibin,fiction,3.63,57213
23308037,The Remains of the Day,Kazuo Ishiguro,fiction,4.1,23
8152537,Summer Sisters,Judy Blume,fiction,3.83,1838
12954847,"The Rule Of Nine (Paul Madriani, #11)",Steve Martini,fiction,3.93,7
10047047,The Glitter Scene,Monika Fagerholm,fiction,3.21,119
22320463,Making Nice,Matt Sumell,fiction,3.49,476
31939444,Here Lies Memory: A Pittsburgh Novel,Doug Rice,fiction,4.9,10
13016250,The Little Friend,Donna Tartt,fiction,3.44,686
64482,Let the Northern Lights Erase Your Name,Vendela Vida,fiction,3.59,3327
1380946,The Famished Road,Ben Okri,fiction,3.73,222
895185,The Ghost,Robert   Harris,fiction,3.68,7933
3233213,Kafka on the Shore,Haruki Murakami,fiction,4.13,96
1680279,Crow Stone,Jenni Mills,fiction,3.61,25
10789096,Submarine,Joe Dunthorne,fiction,3.77,687
17737011,Half the Kingdom,Lore Segal,fiction,2.81,195
23309222,The Glass Kitchen,"Linda Francis Lee, Julia Whelan",fiction,3.81,10
13578532,Vada Faith,Barbara A. Whittington,fiction,3.28,245
3639405,A Death in the Family,James Agee,fiction,3.92,15
13872,Geek Love,Katherine Dunn,fiction,3.98,41808
33544874,Forest Dark,Nicole Krauss,fiction,3.2,865
10123595,Shoplifting from American Apparel,Tao Lin,fiction,3.13,79
27219564,Blackheath,Adam Baron,fiction,4.04,21
17619843,Losing It All,Marsha Cornelius,fiction,4.27,54
2839868,The Eagle Has Flown,Jack Higgins,fiction,3.9,21
11818277,The Lantern,Deborah Lawrenson,fiction,3.35,43
7661738,You Only Live Twice (James Bond 12),Ian Fleming,fiction,3.75,18
1344484,The Pickwick Papers,Charles Dickens,fiction,3.82,70
12444784,The Flight of Gemma Hardy,Margot Livesey,fiction,3.59,34
16169224,Summer Melody,Toddie Downs,fiction,3.52,43
9685183,10 Lost Vintage Sci-Fi Short Story Masterpieces for Hardcore Fans Only!,"Chet Dembeck, Kurt Vonnegut Jr., James H. Schmitz, Norman Spinrad, Rog Phillips, Stephen Bartholomew, Arthur G. Hill, Murray Leinster, Arthur Dekker Savage, W.W. Skupeldyckle",fiction,3.67,12
23730908,Her,Harriet Lane,fiction,2.85,293
28694645,Room,Emma Donoghue,fiction,4.03,99
28481693,Becoming Lin,Tricia Dower,fiction,4.29,32
10385168,The Finkler Question,Howard Jacobson,fiction,2.77,43
6796215,The Japanese Wife,Kunal Basu,fiction,3.21,15
565724,"The Funeral Makers (Mattagash, #1)",Cathie Pelletier,fiction,3.72,221
395953,"Ship of Destiny (Liveship Traders, #3)",Robin Hobb,fiction,4.21,576
15954514,Are You Happy Now?,Richard Babcock,fiction,3.17,194
9810708,Rescue,Anita Shreve,fiction,3.3,728
3157275,The Enchantress of Florence,Salman Rushdie,fiction,3.57,20
13511827,Room,Emma Donoghue,fiction,4.03,109
2432541,Cassada,James Salter,fiction,3.8,13
31847647,"The Fifth Letter: old friends, hidden betrayals and one dangerous secret",Nicola Moriarty,fiction,3.46,89
15818133,Beautiful Ruins,Jess Walter,fiction,3.68,2927
17210411,A Virtual Love,Andrew Blackman,fiction,3.52,66
13576477,Love Slave,Jennifer Spiegel,fiction,3.41,82
30318604,Side Effects May Vary,Ellis Reid,fiction,3.83,21
837890,The House in Paris,"Elizabeth Bowen, A.S. Byatt",fiction,3.7,33
4422,A Confederacy of Dunces,John Kennedy Toole,fiction,3.89,1851
87243,Pale Fire,Vladimir Nabokov,fiction,4.19,111
1117646,The Balkan Trilogy,Olivia Manning,fiction,4.18,20
1019211,I Am Charlotte Simmons,"Tom Wolfe, Jonathan Galassi, Dylan Baker",fiction,3.4,26
3697638,Independent People,"Halldor Laxness, James Anderson Thompson",fiction,4.18,164
18187519,Things We Set On Fire,Deborah  Reed,fiction,3.61,3620
19414273,"Sense & Sensibility (The Austen Project, #1)",Joanna Trollope,fiction,3.54,29
17218790,The Ocean at the End of the Lane,Neil Gaiman,fiction,3.99,150
16069313,Lunch with Buddha,Roland Merullo,fiction,4.1,1009
851750,The Virgin Suicides,Jeffrey Eugenides,fiction,3.83,12
851752,The Virgin Suicides,Jeffrey Eugenides,fiction,3.83,16
6697955,Lucinella,Lore Segal,fiction,3.58,165
1278248,Needful Things,Stephen King,fiction,3.88,162
25614221,Perfidia,James Ellroy,fiction,3.61,40
296462,"White Jacket or, the World on a Man-of-War",Herman Melville,fiction,3.75,424
352380,Salem Falls,Jodi Picoult,fiction,3.8,458
2034302,The Pope of Greenwich Village,Vincent Patrick,fiction,3.85,18
19405236,Cards on the Table (Hercule Poirot #15),"Agatha Christie, Hugh Fraser",fiction,3.9,43
19437043,"Death Check (The Destroyer, #2)","Warren Murphy, Richard Sapir",fiction,3.67,7
348543,Their Dogs Came with Them,Helena Maria Viramontes,fiction,3.77,226
8320645,The Outward Room,"Millen Brand, Peter Cameron",fiction,3.71,277
26114590,Paradime,Alan Glynn,fiction,3.47,23
25897491,Did You Ever Have A Family,Bill Clegg,fiction,3.81,37
294423,Native Tongue,Carl Hiaasen,fiction,3.94,66
27840876,The Clasp,Sloane Crosley,fiction,3.02,61
21461597,The Hypnotist's Love Story,"Liane Moriarty, Tamara Lovatt Smith",fiction,3.69,81
6318020,Rant,Chuck Palahniuk,fiction,3.82,105
6933194,Numb,Sean Ferrell,fiction,3.38,231
6637860,The Bright Forever,Lee  Martin,fiction,3.5,143
19044371,Bauldr's Tears,Alydia Rackham,fiction,4.11,47
2863512,"L.A. Outlaws (Charlie Hood, #1)","T. Jefferson Parker, Susan Ericksen, David Colacci, Suasn Ericksen",fiction,3.72,14
18469081,Four: A Divergent Collection,Veronica Roth,fiction,4.09,56
116239,A Single Pebble,John Hersey,fiction,3.61,342
22028621,The Thirty-Nine Steps,John Buchan,fiction,3.6,37
649029,Wide Sargasso Sea,"Jean Rhys, Angela Smith",fiction,3.57,694
1400707,The Flowering Thorn,Margery Sharp,fiction,4.07,76
21338055,The Misfortunates,"Dimitri Verhulst, David Colmer",fiction,3.76,18
25318908,"The President's Shadow (Culper Ring, #3)",Brad Meltzer,fiction,3.73,89
18755811,The Good Life Elsewhere,"Vladimir Lorchenkov, Ross Ufberg",fiction,3.62,85
9816578,Alice Bliss,Laura Harrington,fiction,3.81,2314
11295327,The Wish Maker,Ali Sethi,fiction,2.8,14
249863,The Green Man,Kingsley Amis,fiction,3.54,1099
18920178,Goodbye for Now,Laurie Frankel,fiction,3.59,66
33830324,The Brief Wondrous Life of Oscar Wao,"Junot Diaz, Lin-Manuel Miranda, Karen Olivo",fiction,3.89,65
1227044,The Takeover,Stephen W. Frey,fiction,3.78,61
223628,Uncle Remus: the Complete Tales,"Julius Lester, Phyllis Fogelman, Jerry Pinkney",fiction,4.13,91
515688,A Guest of Honour,Nadine Gordimer,fiction,3.53,92
30197421,The Paris Secret,Karen Swan,fiction,3.96,86
16130574,Anonymous Sources,Mary Louise Kelly,fiction,3.72,1016
16070493,Phoebe and the Ghost of Chagall,Jill Koenigsdorf,fiction,3.95,38
25852090,The Jane Austen Book Club,Karen Joy Fowler,fiction,3.07,42
7487773,The Family Tree,Ilsa Evans,fiction,3.42,60
13593569,"Empire and Honor (Honor Bound, #7)","W.E.B. Griffin, William E. Butterworth IV",fiction,4.12,821
2040753,The Dead Don't Dance,Charles Martin,fiction,4.19,50
982902,Your Face Tomorrow 1: Fever and Spear,Javier Marias,fiction,4.0,69
9799018,L. A. Confidential,James Ellroy,fiction,4.2,19
29471397,Spy Games,Adam Brookes,fiction,3.88,30
7046116,The Girl Who Kicked the Hornet's Nest,"Stieg Larsson, Reg Keeland, Saul Reichlin",fiction,4.21,342
93569,The Night Journal,Elizabeth   Crook,fiction,3.58,847
16157148,Mimi,Lucy Ellmann,fiction,3.1,20
2163262,One Hundred Years of Solitude,"Gabriel Garcia Marquez, Gregory Rabassa",fiction,4.04,284
17265147,"Patriot Games (Jack Ryan, #1)",Tom Clancy,fiction,4.11,84
8162331,The Book,M. Clifford,fiction,3.67,65
7294527,"Mr. Rosenblum's List, or, Friendly Guidance for the Aspiring Englishman",Natasha Solomons,fiction,3.57,534
7294529,"Mr Rosenblum's List, or, Friendly Guidance for the Aspiring Englishman",Natasha Solomons,fiction,3.57,238
18894152,Big Brother,Lionel Shriver,fiction,3.41,405
10403617,The Transformation of Bartholomew Fortuno,Ellen Bryson,fiction,3.19,14
1148839,Searching for Caleb,Anne Tyler,fiction,3.89,52
18124422,Brother and the Dancer,Keenan Norris,fiction,3.57,29
6578785,"The Girl with the Dragon Tattoo (Millennium, #1)","Stieg Larsson, Reg Keeland",fiction,4.11,98
18269724,The Lowland,Jhumpa Lahiri,fiction,3.82,273
360140,The Yiddish Policemen's Union,Michael Chabon,fiction,3.7,22
10653112,Line of Control,Mainak Dhar,fiction,3.81,369
2448782,The Short Reign of Pippin IV,John Steinbeck,fiction,3.51,16
20588699,"The Love Song of Miss Queenie Hennessy (Harold Fry, #2)",Rachel Joyce,fiction,4.04,425
9912860,An Arsonist's Guide to Writers' Homes in New England,"Brock Clarke, Daniel Passer",fiction,2.95,30
6123462,Amazing Grace,Clare Dowling,fiction,3.13,8
3486994,The Household Guide to Dying,Debra Adelaide,fiction,3.47,55
26809893,Work Like Any Other,Virginia  Reeves,fiction,3.73,99
729760,Stories of Your Life and Others,Ted Chiang,fiction,4.27,317
35412372,Freshwater,Akwaeke Emezi,fiction,4.49,33
3860528,Gods Behaving Badly,Marie Phillips,fiction,3.39,471
2591577,"Pioneer, Go Home!",Richard Powell,fiction,4.17,151
26107071,Kitchens of the Great Midwest,"J. Ryan Stradal, Amy Ryan, Michael Stuhlbarg",fiction,3.77,36
25814222,My Grandmother Asked Me to Tell You She's Sorry,Fredrik Backman,fiction,4.03,1815
25814223,Work Like Any Other,Virginia  Reeves,fiction,3.73,872
25814229,The Broken Road,Richard Paul Evans,fiction,4.05,357
44446,Great Russian Short Stories,"Paul Negri, Alexander Pushkin, Maxim Gorky, Aleksandr Ivanovich Kuprin, Leonid Andreyev, Nikolai Gogol, Ivan Turgenev, Fyodor Dostoyevsky, Leo Tolstoy, Nicholay Leskov, Vsevolod Garshin, Anton Chekhov, Theodor Sologub",fiction,4.04,137
28269953,The Life of Elves,Muriel Barbery,fiction,2.75,897
15793073,Dirty Little Secret (Legoland Trilogy #3),Jon Stock,fiction,3.8,70
15793074,"Best Kept Secret (The Clifton Chronicles, #3)",Jeffrey Archer,fiction,3.94,19320
23642742,Paris Spring,James Naughtie,fiction,3.34,67
35120962,Gwendy's Button Box,"Stephen King, Richard T. Chizmar, Maggie Siff",fiction,3.9,20
7664548,The Education of Little Tree,Forrest Carter,fiction,4.09,153
19198478,Saving Max,Antoinette van Heugten,fiction,3.81,60
27868372,The Bones of Grace,Tahmima Anam,fiction,3.81,19
7140632,hector,K.I. Hope,fiction,3.9,45
71453,Fear and Trembling,"Amelie Nothomb, Adriana  Hunter",fiction,3.72,642
71455,The Book of Proper Names,Amelie Nothomb,fiction,3.55,46
394914,Steppenwolf,"Hermann Hesse, Joseph Mileck",fiction,4.11,536
1784302,Just Like Always,Elizabeth-Ann Sachs,fiction,4.18,14
10642313,The Mountain Between Us,"Charles Martin, George Newbern",fiction,4.18,38
18493185,Whistling Past the Graveyard,Susan Crandall,fiction,4.04,501
31181724,Mend the Living,Maylis de Kerangal,fiction,3.88,36
24945151,The Normal State of Mind,Susmita Bhattacharya,fiction,3.31,31
491996,Trance,Christopher Sorrentino,fiction,3.46,137
6044682,Netherland,Joseph O'Neill,fiction,3.4,44
977451,The Years of Rice and Salt,Kim Stanley Robinson,fiction,3.72,9
880694,Hotel du Lac,Anita Brookner,fiction,3.57,270
23007031,The Cherry Cola Book Club,Ashton Lee,fiction,2.93,15
3265057,The Journey,"Hans Gunther Adler, Peter Filkins",fiction,3.67,41
30046610,The Shocker: Legit,Max Landis,fiction,3.79,14
18108659,Rage's Echo,J.S. Bailey,fiction,3.94,34
2089896,"Riding the Rap (Raylan Givens, #2)",Elmore Leonard,fiction,3.77,129
22207,Lullabies for Little Criminals,Heather O'Neill,fiction,3.95,14903
1920426,Reflections in a Golden Eye,Carson McCullers,fiction,3.84,96
25241466,Golden Age (Last Hundred Years: A Family Saga #3),Jane Smiley,fiction,3.75,2413
25241463,The Mare,Mary Gaitskill,fiction,3.68,2921
14287811,Enduring Love,Ian McEwan,fiction,3.62,42
13629367,The Rotters' Club,Jonathan Coe,fiction,3.95,38
13618374,The Infatuations,"Javier Marias, Margaret Jull Costa",fiction,3.49,1149
18490554,The Girl Who Was Saturday Night,Heather O'Neill,fiction,3.8,2599
24763330,The Silmarillion,J.R.R. Tolkien,fiction,3.88,263
23347686,Trigger Mortis,"Anthony Horowitz, Ian Fleming",fiction,3.74,1890
11182585,The Razor's Edge,W. Somerset Maugham,fiction,4.18,28
2938112,Death Beam,Robert Moss,fiction,2.79,38
15809451,"Return to Prior's Ford (Prior's Ford, #6)",Evelyn Hood,fiction,3.95,28
17906587,Come to the Edge,Joanna Kavenna,fiction,3.26,27
13133306,Unaccustomed Earth: Stories,"Jhumpa Lahiri, Sarita Choudhury, Ajay Naidu",fiction,4.11,68
23053,Love In A Blue Time,Hanif Kureishi,fiction,3.48,724
26102646,"One Man Two Votes (Robert Carlton, #1)",J. Russ Briley,fiction,4.3,9
22009092,"Just One Damned Thing After Another (The Chronicles of St Mary's, #1)","Jodi Taylor, Zara Ramm",fiction,3.94,115
71332,Push,Sapphire,fiction,3.82,36665
27066418,Everybody's Fool,Richard Russo,fiction,4.08,20
26125154,The Story of the Lost Child,Elena Ferrante,fiction,4.39,120
15714643,Broken Glass,Tabitha Freeman,fiction,3.95,175
30531900,Every Wild Heart,Meg Donohue,fiction,3.35,44
15732081,Zbinden's Progress,Christoph Simon,fiction,4.02,47
9154921,Frankenstein,Mary Wollstonecraft Shelley,fiction,3.76,34
10852162,Kalila and Dimna #1 - The Panchatantra Retold,"Ramsay Wood, Doris Lessing, Margaret Kilrenny",fiction,4.1,9
7907803,An Object of Beauty,Steve Martin,fiction,3.58,43231
6629961,Mules and Men,Zora Neale Hurston,fiction,4.09,40
13002926,Barabbas,"Par Lagerkvist, Alan Blair",fiction,3.83,12
30136324,The Best of Adam Sharp,Graeme Simsion,fiction,3.07,484
29585145,"This Was a Man (The Clifton Chronicles, #7)",Jeffrey Archer,fiction,4.27,107
22606721,What Burns Away,Melissa Falcon Field,fiction,3.29,28
22103893,Us,David Nicholls,fiction,3.67,79
25534020,The Incorrigible Optimists Club,Jean-Michel Guenassia,fiction,4.26,17
6436536,A Monster's Notes,Laurie Sheck,fiction,2.93,157
587318,"The Last Battle (The Chronicles of Narnia, #7)","C.S. Lewis, Pauline Baynes",fiction,4.03,2179
936205,Invitation to a Beheading,Vladimir Nabokov,fiction,3.94,53
27136182,Men and Dreams: In the Dhauladhar,Kochery C. Shibu,fiction,4.29,20
740617,Pocketful of Names,Joe Coomer,fiction,4.11,835
740619,Seek the Living,Ashley Warlick,fiction,3.29,8
